survey,item,variable,values,nonresponses,question_text,response_categories,group
aes1993,big3,h9fed,c(1:3),,Would you say the Federal government is run by a few big interests looking out for themselves or that it is run for the benefit of all the people?,1 run by a few big interests / 2 depends / 3 run for all the people,eff
aes1993,care5,h1p4,c(1:5),,I don't think public officials care much what people like me think,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,eff
aes1993,right4a,h3,c(1:4),,"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes1993,say5,h1p8,c(1:5),,People like me don't have any say about what the government does,1 strongly agree / 2 agree / 3 neither agree nor disagree / 4 disagree / 5 strongly disagree,eff
aes1996,care5d,b16p1,c(5:1),,Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes1996,right4a,c5,c(1:4),,"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes1998,big5,d12,c(1:5),,"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes1998,care5d,b19p1,c(5:1),,Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes1998,right4a,c5,c(1:4),,"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2001,big5,c9,c(1:5),,"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2001,care5d,b23,c(5:1),,Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2001,right4a,c8,c(1:4),,"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2004,big5,c9,c(1:5),,"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2004,care5d,b23,c(5:1),,Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2004,right4a,c8,c(1:4),,"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2007,big5,c9,c(1:5),,"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
aes2007,care5d,b24,c(5:1),,Some people say that political parties in Australia care what ordinary people think. Others say that political parties in Australia don't care what ordinary people think. Where would you place your view on this scale from 1 to 5?,1 political parties care what ordinary people think / 234 / 5 political parties don't care what ordinary people think,eff
aes2007,right4a,c8,c(1:4),,"In general, do you feel that the people in government are too often interested in looking after themselves, or do you feel that they can be trusted to do the right thing nearly all the time?",1 Usually look after themselves / 2 Sometimes look after themselves / 3 Sometimes can be trusted to do the right thing / 4 Usually can be trusted to do the right thing,trust_eff
aes2010,big5,c10,c(1:5),,"Would you say the government is run by a few big interests looking out for themselves, or that it is run for the benefit of all the people? ",1 entirely run for the big interests / 2 mostly run for the big interests / 3 about half and half / 4 mostly run for the benefit of all / 5 entirely run for the benefit of all,eff
