country,year,item,r,n,survey,cc_rank
Australia,2007,env_success5,1,278,issp2006,25
Australia,2007,env_success5,2,628,issp2006,25
Australia,2007,env_success5,3,1080,issp2006,25
Australia,2007,env_success5,4,611,issp2006,25
Australia,2007,env_success5,5,43,issp2006,25
Australia,2007,hc_success5,1,183,issp2006,25
Australia,2007,hc_success5,2,575,issp2006,25
Australia,2007,hc_success5,3,902,issp2006,25
Australia,2007,hc_success5,4,934,issp2006,25
Australia,2007,hc_success5,5,83,issp2006,25
Australia,2007,old_success5,1,134,issp2006,25
Australia,2007,old_success5,2,543,issp2006,25
Australia,2007,old_success5,3,1038,issp2006,25
Australia,2007,old_success5,4,867,issp2006,25
Australia,2007,old_success5,5,53,issp2006,25
Australia,2016,hc_success5,1,67.2712939818991,issp2016,25
Australia,2016,hc_success5,2,185.686626954762,issp2016,25
Australia,2016,hc_success5,3,254.435522339479,issp2016,25
Australia,2016,hc_success5,4,643.498158351349,issp2016,25
Australia,2016,hc_success5,5,90.4091120916442,issp2016,25
Australia,2016,old_success5,1,101.116405034074,issp2016,25
Australia,2016,old_success5,2,281.37645690068,issp2016,25
Australia,2016,old_success5,3,384.487400281754,issp2016,25
Australia,2016,old_success5,4,439.093748905971,issp2016,25
Australia,2016,old_success5,5,28.5571653442304,issp2016,25
Croatia,2006,env_success5,1,144,issp2006,25
Croatia,2006,env_success5,2,233,issp2006,25
Croatia,2006,env_success5,3,456,issp2006,25
Croatia,2006,env_success5,4,183,issp2006,25
Croatia,2006,env_success5,5,16,issp2006,25
Croatia,2006,hc_success5,1,232,issp2006,25
Croatia,2006,hc_success5,2,329,issp2006,25
Croatia,2006,hc_success5,3,406,issp2006,25
Croatia,2006,hc_success5,4,146,issp2006,25
Croatia,2006,hc_success5,5,11,issp2006,25
Croatia,2006,old_success5,1,287,issp2006,25
Croatia,2006,old_success5,2,423,issp2006,25
Croatia,2006,old_success5,3,322,issp2006,25
Croatia,2006,old_success5,4,96,issp2006,25
Croatia,2006,old_success5,5,2,issp2006,25
Croatia,2017,hc_success5,1,142,issp2016,25
Croatia,2017,hc_success5,2,255,issp2016,25
Croatia,2017,hc_success5,3,363,issp2016,25
Croatia,2017,hc_success5,4,247,issp2016,25
Croatia,2017,hc_success5,5,12,issp2016,25
Croatia,2017,old_success5,1,223,issp2016,25
Croatia,2017,old_success5,2,328,issp2016,25
Croatia,2017,old_success5,3,315,issp2016,25
Croatia,2017,old_success5,4,140,issp2016,25
Croatia,2017,old_success5,5,11,issp2016,25
Czechia,2006,env_success5,1,82.8496653157422,issp2006,25
Czechia,2006,env_success5,2,254.761736905648,issp2006,25
Czechia,2006,env_success5,3,489.681649606632,issp2006,25
Czechia,2006,env_success5,4,308.350215421463,issp2006,25
Czechia,2006,env_success5,5,32.4166796727862,issp2006,25
Czechia,2006,hc_success5,1,100.885412988643,issp2006,25
Czechia,2006,hc_success5,2,278.650754160338,issp2006,25
Czechia,2006,hc_success5,3,381.306115716709,issp2006,25
Czechia,2006,hc_success5,4,368.993004757927,issp2006,25
Czechia,2006,hc_success5,5,43.6325584065978,issp2006,25
Czechia,2006,old_success5,1,74.7044879225207,issp2006,25
Czechia,2006,old_success5,2,333.99863866326,issp2006,25
Czechia,2006,old_success5,3,421.373399830801,issp2006,25
Czechia,2006,old_success5,4,317.888530026473,issp2006,25
Czechia,2006,old_success5,5,30.61212007331,issp2006,25
Czechia,2016,hc_success5,1,39.1689456653546,issp2016,25
Czechia,2016,hc_success5,2,174.250421555528,issp2016,25
Czechia,2016,hc_success5,3,460.969813415737,issp2016,25
Czechia,2016,hc_success5,4,646.378539974717,issp2016,25
Czechia,2016,hc_success5,5,59.9689435572557,issp2016,25
Czechia,2016,old_success5,1,105.023359652701,issp2016,25
Czechia,2016,old_success5,2,422.51031465089,issp2016,25
Czechia,2016,old_success5,3,498.645367144665,issp2016,25
Czechia,2016,old_success5,4,318.74578038008,issp2016,25
Czechia,2016,old_success5,5,30.7169231259331,issp2016,25
Denmark,2008,env_success5,1,75,issp2006,25
Denmark,2008,env_success5,2,215,issp2006,25
Denmark,2008,env_success5,3,460,issp2006,25
Denmark,2008,env_success5,4,506,issp2006,25
Denmark,2008,env_success5,5,61,issp2006,25
Denmark,2008,hc_success5,1,76,issp2006,25
Denmark,2008,hc_success5,2,269,issp2006,25
Denmark,2008,hc_success5,3,355,issp2006,25
