country,year,item,r,n,survey,cc_rank
United Kingdom,1985,right4,1,65.9135662735472,eb24,1137
United Kingdom,1985,right4,2,326.050615425895,eb24,1137
United Kingdom,1985,right4,3,588.013738328098,eb24,1137
United Kingdom,1985,right4,4,345.505747084872,eb24,1137
United Kingdom,1985,say2,1,537.552761508519,issp1985,1137
United Kingdom,1985,say2,2,750.922487446932,issp1985,1137
United Kingdom,1985,say2a,1,234.205791408477,issp1985,1137
United Kingdom,1985,say2a,2,1133.61410365217,issp1985,1137
United Kingdom,1986,care2a,1,449.429999999999,eb26,1137
United Kingdom,1986,care2a,2,794.009999999999,eb26,1137
United Kingdom,1986,right4b,1,71.1156951701762,bsa_combo,1137
United Kingdom,1986,right4b,2,524.363236349324,bsa_combo,1137
United Kingdom,1986,right4b,3,716.177392256989,bsa_combo,1137
United Kingdom,1986,right4b,4,175.362435505276,bsa_combo,1137
United Kingdom,1986,touch5,1,6.06675326902596,bsa_combo,1137
United Kingdom,1986,touch5,2,240.647272996036,bsa_combo,1137
United Kingdom,1986,touch5,3,167.971208885067,bsa_combo,1137
United Kingdom,1986,touch5,4,835.309922863189,bsa_combo,1137
United Kingdom,1986,touch5,5,257.145100723271,bsa_combo,1137
United Kingdom,1986,vote5,1,19.3798388676855,bsa_combo,1137
United Kingdom,1986,vote5,2,272.63230846844,bsa_combo,1137
United Kingdom,1986,vote5,3,194.799908529017,bsa_combo,1137
United Kingdom,1986,vote5,4,743.045020234416,bsa_combo,1137
United Kingdom,1986,vote5,5,291.961186608666,bsa_combo,1137
United Kingdom,1987,right4b,1,68.2451200724789,bsa_combo,1137
United Kingdom,1987,right4b,2,452.586907217322,bsa_combo,1137
United Kingdom,1987,right4b,3,694.038994402888,bsa_combo,1137
United Kingdom,1987,right4b,4,152.492235332556,bsa_combo,1137
United Kingdom,1987,say5,1,141.433955419036,bes1987,1137
United Kingdom,1987,say5,2,1053.65846718662,bes1987,1137
United Kingdom,1987,say5,3,535.764983495357,bes1987,1137
United Kingdom,1987,say5,4,1148.24911256013,bes1987,1137
