country,year,item,r,n,survey,cc_rank
Germany,1995,pride_dem4,1,143,issp1995,44
Germany,1995,pride_dem4,2,618,issp1995,44
Germany,1995,pride_dem4,3,766,issp1995,44
Germany,1995,pride_dem4,4,231,issp1995,44
Germany,1997,dem_sat4,1,99,wvs_combo,44
Germany,1997,dem_sat4,2,706,wvs_combo,44
Germany,1997,dem_sat4,3,1139,wvs_combo,44
Germany,1997,dem_sat4,4,54,wvs_combo,44
Germany,1998,dem_sat4a,1,127.698704079763,cses1,44
Germany,1998,dem_sat4a,2,513.179473444831,cses1,44
Germany,1998,dem_sat4a,3,1212.72689614347,cses1,44
Germany,1998,dem_sat4a,4,137.185533514182,cses1,44
Germany,1999,dem_sat4,1,96.9956419468463,evs_combo,44
Germany,1999,dem_sat4,2,387.857932893843,evs_combo,44
Germany,1999,dem_sat4,3,1286.718087184,evs_combo,44
Germany,1999,dem_sat4,4,195.830337699096,evs_combo,44
Germany,2002,dem_sat4a,1,237.116337064842,cses2,44
Germany,2002,dem_sat4a,2,810.368982670838,cses2,44
Germany,2002,dem_sat4a,3,1294.43235468874,cses2,44
Germany,2002,dem_sat4a,4,169.21784232873,cses2,44
Germany,2004,pride_dem4,1,127,issp2003,44
Germany,2004,pride_dem4,2,468,issp2003,44
Germany,2004,pride_dem4,3,489,issp2003,44
Germany,2004,pride_dem4,4,96,issp2003,44
Germany,2008,dem_sat4,1,128.74940802236,evs_combo,44
Germany,2008,dem_sat4,2,568.332103734736,evs_combo,44
Germany,2008,dem_sat4,3,1161.10458282101,evs_combo,44
Germany,2008,dem_sat4,4,134.064385935565,evs_combo,44
Germany,2009,dem_sat4a,1,428.347730824398,cses3,44
Germany,2009,dem_sat4a,2,1358.93474279783,cses3,44
Germany,2009,dem_sat4a,3,1984.27330756856,cses3,44
Germany,2009,dem_sat4a,4,276.899212797143,cses3,44
Germany,2013,dem_sat4a,1,114.114975610236,cses4,44
Germany,2013,dem_sat4a,2,496.963554897111,cses4,44
Germany,2013,dem_sat4a,3,1099.74851799617,cses4,44
Germany,2013,dem_sat4a,4,145.989366024958,cses4,44
Germany,2014,pride_dem4,1,58.9109720750125,issp2013,44
Germany,2014,pride_dem4,2,351.930309479251,issp2013,44
Germany,2014,pride_dem4,3,919.56386566459,issp2013,44
Germany,2014,pride_dem4,4,256.874858186019,issp2013,44
Germany,2017,dem_sat4a,1,90.0344426571176,cses5,44
Germany,2017,dem_sat4a,2,418.333541986044,cses5,44
Germany,2017,dem_sat4a,3,1264.39923373277,cses5,44
Germany,2017,dem_sat4a,4,247.737061366731,cses5,44
Sweden,1995,pride_dem4,1,63.6849622526015,issp1995,40
Sweden,1995,pride_dem4,2,372.369720465211,issp1995,40
Sweden,1995,pride_dem4,3,635.39522546419,issp1995,40
Sweden,1995,pride_dem4,4,151.565802897368,issp1995,40
Sweden,1998,dem_sat4a,1,47,cses1,40
Sweden,1998,dem_sat4a,2,246,cses1,40
Sweden,1998,dem_sat4a,3,633,cses1,40
Sweden,1998,dem_sat4a,4,83,cses1,40
Sweden,1999,dem_sat4,1,54.015302371556,evs_combo,40
Sweden,1999,dem_sat4,2,328.068191479268,evs_combo,40
Sweden,1999,dem_sat4,3,544.762381840881,evs_combo,40
Sweden,1999,dem_sat4,4,27.7370357592532,evs_combo,40
Sweden,2002,dem_sat4a,1,31,cses2,40
Sweden,2002,dem_sat4a,2,212,cses2,40
Sweden,2002,dem_sat4a,3,702,cses2,40
Sweden,2002,dem_sat4a,4,97,cses2,40
Sweden,2003,pride_dem4,1,50,issp2003,40
Sweden,2003,pride_dem4,2,320,issp2003,40
Sweden,2003,pride_dem4,3,613,issp2003,40
Sweden,2003,pride_dem4,4,145,issp2003,40
Sweden,2006,dem_sat4a,1,23,cses3,40
Sweden,2006,dem_sat4a,2,181,cses3,40
Sweden,2006,dem_sat4a,3,746,cses3,40
Sweden,2006,dem_sat4a,4,167,cses3,40
Sweden,2009,dem_sat4,1,55.4994707015033,evs_combo,40
Sweden,2009,dem_sat4,2,258.096770413787,evs_combo,40
Sweden,2009,dem_sat4,3,666.589178186846,evs_combo,40
Sweden,2009,dem_sat4,4,57.5709564104458,evs_combo,40
Sweden,2013,pride_dem4,1,29,issp2013,40
